Entity,Code,Day,People fully vaccinated (cumulative)
Afghanistan,AFG,2021/5/11,55624
Afghanistan,AFG,2021/5/20,77560
Afghanistan,AFG,2021/5/24,96910
Afghanistan,AFG,2021/5/26,111082
Afghanistan,AFG,2021/5/27,113739
Afghanistan,AFG,2021/5/30,119926
Afghanistan,AFG,2021/6/2,144600
Afghanistan,AFG,2021/6/3,148505
Afghanistan,AFG,2021/6/8,158343
Afghanistan,AFG,2021/6/14,177266
Afghanistan,AFG,2021/6/22,183762
Afghanistan,AFG,2021/6/27,186260
Afghanistan,AFG,2021/6/30,187654
Afghanistan,AFG,2021/7/5,189322
Afghanistan,AFG,2021/7/7,199250
Afghanistan,AFG,2021/7/11,219159
Afghanistan,AFG,2021/8/20,430744
Afghanistan,AFG,2021/11/14,3188609
Afghanistan,AFG,2021/12/27,3753224
Afghanistan,AFG,2022/1/9,3809353
Afghanistan,AFG,2022/1/11,3814837
Afghanistan,AFG,2022/1/13,3823786
Afghanistan,AFG,2022/1/17,3832821
Afghanistan,AFG,2022/1/19,3836731
Afghanistan,AFG,2022/1/24,3851307
Afghanistan,AFG,2022/1/26,3866279
Afghanistan,AFG,2022/1/27,3868832
Afghanistan,AFG,2022/1/31,3892831
Afghanistan,AFG,2022/2/2,3912336
Afghanistan,AFG,2022/2/7,3959887
Afghanistan,AFG,2022/2/14,4043580
Afghanistan,AFG,2022/2/20,4125717
Afghanistan,AFG,2022/2/27,4231984
Afghanistan,AFG,2022/3/6,4281934
Afghanistan,AFG,2022/3/17,4402868
Afghanistan,AFG,2022/3/22,4420127
Afghanistan,AFG,2022/4/4,4532577
Afghanistan,AFG,2022/4/14,4595506
Afghanistan,AFG,2022/4/18,4603187
Afghanistan,AFG,2022/4/26,4636946
Afghanistan,AFG,2022/4/27,4637327
Afghanistan,AFG,2022/5/5,4668999
Afghanistan,AFG,2022/5/8,4670950
Afghanistan,AFG,2022/5/10,4676224
Afghanistan,AFG,2022/5/15,4710456
Afghanistan,AFG,2022/5/23,4758426
Afghanistan,AFG,2022/6/1,4807917
Afghanistan,AFG,2022/6/15,4923085
