Entity,Code,Year,all years
Afghanistan,AFG,2023,41454762
Africa,OWID_AFR,2023,1479690254
Africa (UN),UN_AFR,2023,1480770518
Albania,ALB,2023,2811660
Algeria,DZA,2023,46164222
American Samoa,ASM,2023,47544
Americas (UN),,2023,1041794257
Andorra,AND,2023,80869
Angola,AGO,2023,36749909
Anguilla,AIA,2023,14435
Antigua and Barbuda,ATG,2023,93331
Argentina,ARG,2023,45538402
Armenia,ARM,2023,2943398
Aruba,ABW,2023,107946
Asia,OWID_ASI,2023,4776659631
Asia (UN),UN_ASI,2023,4778004486
Australia,AUS,2023,26451126
Austria,AUT,2023,9130434
Azerbaijan,AZE,2023,10318209
Bahamas,BHS,2023,399452
Bahrain,BHR,2023,1569674
Bangladesh,BGD,2023,171466986
Barbados,BRB,2023,282347
Belarus,BLR,2023,9115679
Belgium,BEL,2023,11712891
Belize,BLZ,2023,411112
Benin,BEN,2023,14111035
Bermuda,BMU,2023,64721
Bhutan,BTN,2023,786386
Bolivia,BOL,2023,12244161
Bonaire Sint Eustatius and Saba,BES,2023,29920
Bosnia and Herzegovina,BIH,2023,3185072
Botswana,BWA,2023,2480242
Brazil,BRA,2023,211140731
British Virgin Islands,VGB,2023,39009
Brunei,BRN,2023,458959
Bulgaria,BGR,2023,6795805
Burkina Faso,BFA,2023,23025777
Burundi,BDI,2023,13689455
Cambodia,KHM,2023,17423884
Cameroon,CMR,2023,28372690
Canada,CAN,2023,39299098
Cape Verde,CPV,2023,522335
Cayman Islands,CYM,2023,73055
Central African Republic,CAF,2023,5152415
Chad,TCD,2023,19319075
Chile,CHL,2023,19658833
China,CHN,2023,1422584930
Colombia,COL,2023,52321152
Comoros,COM,2023,850390
Congo,COG,2023,6182890
Cook Islands,COK,2023,14244
Costa Rica,CRI,2023,5105526
Cote d'Ivoire,CIV,2023,31165653
Croatia,HRV,2023,3896023
Cuba,CUB,2023,11019932
Curacao,CUW,2023,185437
Cyprus,CYP,2023,1344981
Czechia,CZE,2023,10809722
Democratic Republic of Congo,COD,2023,105789733
Denmark,DNK,2023,5948134
Djibouti,DJI,2023,1152951
Dominica,DMA,2023,66531
Dominican Republic,DOM,2023,11331269
East Timor,TLS,2023,1384292
Ecuador,ECU,2023,17980079
Egypt,EGY,2023,114535772
El Salvador,SLV,2023,6309629
Equatorial Guinea,GNQ,2023,1847556
Eritrea,ERI,2023,3470391
Estonia,EST,2023,1367195
Eswatini,SWZ,2023,1230507
Ethiopia,ETH,2023,128691695
Europe,OWID_EUR,2023,746948109
Europe (UN),UN_EUR,2023,745602870
Falkland Islands,FLK,2023,3498
Faroe Islands,FRO,2023,54738
Fiji,FJI,2023,924150
Finland,FIN,2023,5601185
France,FRA,2023,66438828
French Guiana,GUF,2023,303408
French Polynesia,PYF,2023,281125
Gabon,GAB,2023,2484790
Gambia,GMB,2023,2697846
Georgia,GEO,2023,3807494
Germany,DEU,2023,84548233
Ghana,GHA,2023,33787916
Gibraltar,GIB,2023,38493
Greece,GRC,2023,10242910
Greenland,GRL,2023,55951
Grenada,GRD,2023,117094
Guadeloupe,GLP,2023,376518
Guam,GUM,2023,166522
Guatemala,GTM,2023,18124841
Guernsey,GGY,2023,64043
Guinea,GIN,2023,14405469
Guinea-Bissau,GNB,2023,2153343
Guyana,GUY,2023,826357
Haiti,HTI,2023,11637402
High-income countries,OWID_HIC,2023,1261155607
Honduras,HND,2023,10644853
